Codigo;Nome;Conjunto;Unidade;Pmin;Pmax;Ton;Toff;StatusInic;Tinic;Barra;MaxTurb;CustoPartida;CustoDesliga;Hef
251; SERRA MESA   ;1;3;42.5;425;0;0;0;0;0;399;0;0;117.2
252; CANA BRAVA   ;1;3;15;150;0;0;0;0;0;388;0;0;43.6
253; SAO SALVADOR ;1;2;12.16;121.6;0;0;0;0;0;590;0;0;22.84
257; PEIXE ANGIC  ;1;3;16.625;166.25;0;0;0;0;0;698;0;0;26.35
261; LAJEADO      ;1;5;18.05;180.5;0;0;0;0;0;689;0;0;29
262; SALTO        ;1;2;5.8;58;0;0;0;0;0;130;0;0;50.18
267; ESTREITO TOC ;1;8;13.588;135.88;0;0;0;0;0;790;0;0;18.94
272; CURUA-UNA    ;1;2;1;10;0;0;0;0;0;61;0;0;18.7
272; CURUA-UNA    ;2;1;1.03;10.3;0;0;0;0;0;63;0;0;18.7
272; CURUA-UNA    ;3;1;1.25;12.5;0;0;0;0;0;67;0;0;21.4
275; TUCURUI      ;1;2;2.25;22.5;0;0;0;0;0;38;0;0;65.5
275; TUCURUI      ;2;12;35;350;0;0;0;0;0;590;0;0;65.5
275; TUCURUI      ;3;10;39;390;0;0;0;0;0;698;0;0;61.7
276; RONDON II    ;1;3;2.45;24.5;0;0;0;0;0;49;0;0;57.6
277; BALBINA      ;1;5;4.995;49.95;0;0;0;0;0;257;0;0;21.7
278; MANSO        ;1;4;5.25;52.5;0;0;0;0;0;103;0;0;59.4
279; SAMUEL       ;1;5;4.335;43.35;0;0;0;0;0;170;0;0;28.5
280; COARACY NUNE ;1;2;2.4;24;0;0;0;0;0;123;0;0;21.9
280; COARACY NUNE ;2;1;3;30;0;0;0;0;0;154;0;0;21.9
281; PONTE PEDRA  ;1;3;5.87;58.7;0;0;0;0;0;26;0;0;243.45
283; STA CLARA MG ;1;3;2;20;0;0;0;0;0;44;0;0;52.6
284; FERREIRA GOM ;1;3;8.4;84;0;0;0;0;0;579;0;0;16.22
285; JIRAU        ;1;50;7.5;75;0;0;0;0;0;544;0;0;15.2
286; STO ANT JARI ;1;3;12.985;129.85;0;0;0;0;0;593;0;0;24.4
287; STO ANTONIO  ;1;24;7.33;73.3;0;0;0;0;0;598;0;0;13.9
287; STO ANTONIO  ;2;20;6.96;69.6;0;0;0;0;0;568;0;0;13.9
287; STO ANTONIO  ;3;6;6.96;69.6;0;0;0;0;0;565;0;0;13.9
288; BELO MONTE   ;1;17;61.111;611.11;0;0;0;0;0;771;0;0;86.9
290; ESPORA       ;1;3;1.067;10.67;0;0;0;0;0;24;0;0;50.7
304; ITIQUIRA I   ;1;2;3.04;30.4;0;0;0;0;0;40;0;0;86.1
305; ITIQUIRA II  ;1;2;4.828;48.28;0;0;0;0;0;40;0;0;135.33
309; JURUENA      ;1;2;2.5;25;0;0;0;0;0;83;0;0;33.27
310; DARDANELOS   ;1;4;5.8;58;0;0;0;0;0;68;0;0;95.6
310; DARDANELOS   ;2;1;2.9;29;0;0;0;0;0;34;0;0;95.6
311; CACU         ;1;2;3.25;32.5;0;0;0;0;0;135;0;0;26.9
312; B. COQUEIROS ;1;2;4.5;45;0;0;0;0;0;140;0;0;36
314; PIMENTAL     ;1;6;3.885;38.85;0;0;0;0;0;406;0;0;10.79
315; FOZ R. CLARO ;1;2;3.42;34.2;0;0;0;0;0;151;0;0;25.25
