PeriodoInicial;PeriodoFinal;CodigoUsina;NomeUsina;Variavel;Linf;Lsup
I;F;122; SANTA BRANCA  ;DEFLU;     -     ;300
I;F;124; LAJES         ;DEFLU;5.5;     -     
I;F;133; P. PASSOS     ;DEFLU;120;     -     
I;F;122; SANTA BRANCA  ;DEFLU;30;     -     
I;F;133; P. PASSOS     ;DEFLU;     -     ;160
I;F;154; ITAPEBI       ;DEFLU;40;     -     
I;F;154; ITAPEBI       ;DEFLU;     -     ;660
I;F;314; PIMENTAL      ;DEFLU;9861.22;10682.98
I;F;251; SERRA MESA    ;DEFLU;100;     -     
I;F;63; ROSANA        ;DEFLU;     -     ;24000
I;F;46; P. PRIMAVERA  ;DEFLU;     -     ;24000
I;F;49; CHAVANTES     ;DEFLU;85;     -     
I;F;50; L.N. GARCEZ   ;DEFLU;127;     -     
I;F;51; CANOAS II     ;DEFLU;130;     -     
I;F;52; CANOAS I      ;DEFLU;137;     -     
I;F;61; CAPIVARA      ;DEFLU;276;     -     
I;F;62; TAQUARUCU     ;DEFLU;290;     -     
I;F;63; ROSANA        ;DEFLU;     -     ;24000
I;F;63; ROSANA        ;DEFLU;600;     -     
I;F;47; A.A. LAYDNER  ;DEFLU;90;     -     
I;F;49; CHAVANTES     ;DEFLU;125;     -     
I;F;49; CHAVANTES     ;DEFLU;     -     ;460
I;F;155; RETIRO BAIXO  ;DEFLU;27.67;     -     
I;F;45; JUPIA         ;DEFLU;     -     ;16000
I;F;34; I. SOLTEIRA   ;DEFLU;1450;     -     
I;F;45; JUPIA         ;DEFLU;4000;     -     
I;F;262; SALTO         ;DEFLU;29.13;     -     
I;F;227; SINOP         ;DEFLU;173;     -     
I;F;33; SAO SIMAO     ;DEFLU;     -     ;16000
I;F;33; SAO SIMAO     ;DEFLU;450;     -     
I;F;145; SUICA         ;DEFLU;1.7;     -     
I;F;287; STO ANTONIO   ;DEFLU;3293;     -     
I;F;88; SAO ROQUE     ;DEFLU;13.7;     -     
I;F;189; P. CAVALO     ;DEFLU;     -     ;1500
I;F;189; P. CAVALO     ;DEFLU;     -     ;42
I;F;189; P. CAVALO     ;DEFLU;40;     -     
I;F;126; PICADA        ;DEFLU;6.9;     -     
I;F;241; SLT VERDINHO  ;DEFLU;29.13;     -     
I;F;311; CACU          ;DEFLU;30;     -     
I;F;312; B. COQUEIROS  ;DEFLU;30;     -     
I;F;66; ITAIPU        ;DEFLU;7271;11046
I;F;86; BARRA GRANDE  ;DEFLU;16;     -     
I;F;314; PIMENTAL      ;DEFLU;5916;     -     
I;F;314; PIMENTAL      ;DEFLU;4000;     -     
I;F;125; STA CECILIA   ;DEFLU;71;71
I;F;133; P. PASSOS     ;DEFLU;120;120
I;F;180; TOCOS         ;DEFLU;0;0
I;F;169; SOBRADINHO    ;DEFLU;     -     ;99999
I;F;113; ITAUBA        ;DEFLU;     -     ;0
I;F;180; TOCOS         ; QDES   ;0;25
I;F;107; EDGARD SOUZA  ; QDES   ;     -     ;0
I;F;73; JORDAO        ; QDES   ;0;67
I;F;1; ANGRA 1       ;GER;460;460
I;F;4; ST.CRUZ 34    ;GER;0;0
I;F;12; CUIABA G CC   ;GER;0;490
I;F;13; ANGRA 2       ;GER;1350;1350
I;F;15; LINHARES      ;GER;0;240
I;F;21; MARANHAO V    ;GER;0;     -     
I;F;24; J.LACERDA C   ;GER;0;0
I;F;25; J.LACERDA B   ;GER;220;220
I;F;26; J.LACERDA A1  ;GER;40;     -     
I;F;27; J.LACERDA A2  ;GER;100;110
I;F;35; URUGUAIANA    ;GER;0;330
I;F;36; MARANHAO IV   ;GER;0;     -     
I;F;43; TERMOBAHIA    ;GER;165;170
I;F;46; N.VENECIA 2   ;GER;0;265
I;F;47; TERMORIO      ;GER;750;860
I;F;48; ARAUCARIA     ;GER;0;484
I;F;49; VIANA         ;GER;0;     -     
I;F;52; CAMPINA GDE   ;GER;0;0
I;F;53; GLOBAL I      ;GER;0;137
I;F;54; JUIZ DE FORA  ;GER;84;87
I;F;55; GLOBAL II     ;GER;0;137
I;F;57; MARACANAU I   ;GER;0;0
I;F;58; TERMOCEARA    ;GER;0;200
I;F;60; NORTEFLU      ;GER;0;     -     
I;F;62; SEROPEDICA    ;GER;360;360
I;F;63; IBIRITE       ;GER;0;     -     
I;F;64; CANOAS        ;GER;0;248.57
I;F;67; TERMONE       ;GER;0;0
I;F;68; TRES LAGOAS   ;GER;0;360
I;F;69; TERMOPB       ;GER;0;0
I;F;70; GERAMAR II    ;GER;0;159
I;F;73; GERAMAR I     ;GER;0;159
I;F;83; VALE DO ACU   ;GER;110;110
I;F;86; ST.CRUZ NOVA  ;GER;0;500
I;F;90; TERMOMACAE    ;GER;800;810
I;F;96; TERMOPE       ;GER;0;550
I;F;97; CUBATAO       ;GER;85;166
I;F;98; PERNAMBU_III  ;GER;0;     -     
I;F;106; ERB CANDEIAS  ;GER;0;12
I;F;107; PAMPA SUL     ;GER;0;345
I;F;108; XAVANTES      ;GER;0;0
I;F;110; N.PIRATININ   ;GER;380;386
I;F;116; PARNAIBA IV   ;GER;0;56
I;F;137; GNA I         ;GER;0;1338.3
I;F;140; MAUA 3        ;GER;264;264
I;F;144; PETROLINA     ;GER;0;0
I;F;146; STA VITORIA   ;GER;0;31
I;F;147; PROSPERID. 1  ;GER;0;9
I;F;149; SAO SEPE      ;GER;0;8
I;F;151; POTIGUAR      ;GER;0;     -     
I;F;152; TERMOCABO     ;GER;0;49
I;F;153; DAIA          ;GER;0;0
I;F;156; CANDIOTA 3    ;GER;320;350
I;F;161; POTIGUAR III  ;GER;0;     -     
I;F;162; PECEM II      ;GER;0;144
I;F;163; P. PECEM II   ;GER;0;365
I;F;167; P. PECEM I    ;GER;0;     -     
I;F;170; SUAPE II      ;GER;0;381.26
I;F;176; PORTO ITAQUI  ;GER;0;360
I;F;182; PALMEIRAS GO  ;GER;0;0
I;F;194; T.NORTE 2     ;GER;0;0
I;F;201; APARECIDA     ;GER;95;120
I;F;203; PORAQUE       ;GER;50;68
I;F;204; JARAQUI       ;GER;50;63
I;F;205; PIRARUCU      ;GER;66;67
I;F;207; TUCUNARE      ;GER;66;67
I;F;209; TAMBAQUI      ;GER;56;63
I;F;211; BAIXADA FLU   ;GER;0;530
I;F;212; MARANHAO III  ;GER;0;248
I;F;223; PROSPERID. 3  ;GER;0;46
I;F;224; P. SERGIPE I  ;GER;0;1593
I;F;229; ONCA PINTADA  ;GER;30;50
I;F;235; C. MURICY 2   ;GER;0;144
I;F;236; MARLIM AZUL   ;GER;495;565
I;F;238; GNA II        ;GER;0;     -     
I;F;239; PARNAIBA V    ;GER;0;365
I;F;241; PROSPERID. 2  ;GER;0;     -     
I;F;245; KARKEY 013    ;GER;31;256
I;F;246; KARKEY 019    ;GER;0;116
I;F;248; PAULINIA      ;GER;0;0
I;F;249; PORSUD I      ;GER;0;116
I;F;250; PORSUD II     ;GER;0;78
I;F;251; POVOACAO 1    ;GER;0;     -     
I;F;253; VIANA 1       ;GER;0;37
I;F;254; B. BONITA I   ;GER;0;0
I;F;322; BBF BALIZA    ;GER;0;0
I;F;323; BONFIM        ;GER;5;10
I;F;324; CANTA         ;GER;5;10
