Codigo;Nome;Barra;Submercado
299; 5G1601 _MMGD ;1601; SE      
300; 5G1602 _MMGD ;1602; SE      
301; 5G1605 _MMGD ;1605; SE      
302; 5G1608 _MMGD ;1608; SE      
303; 5G1610 _MMGD ;1610; SE      
304; 5G1612 _MMGD ;1612; SE      
305; 5G1617 _MMGD ;1617; SE      
306; 5G1618 _MMGD ;1618; SE      
307; 5G1621 _MMGD ;1621; SE      
308; 5G1625 _MMGD ;1625; SE      
309; 5G1627 _MMGD ;1627; SE      
310; 5G1629 _MMGD ;1629; SE      
311; 5G1630 _MMGD ;1630; SE      
312; 5G1631 _MMGD ;1631; SE      
313; 5G1632 _MMGD ;1632; SE      
314; 5G1635 _MMGD ;1635; SE      
315; 5G1636 _MMGD ;1636; SE      
316; 5G1637 _MMGD ;1637; SE      
317; 5G1638 _MMGD ;1638; SE      
318; 5G1639 _MMGD ;1639; SE      
319; 5G1640 _MMGD ;1640; SE      
320; 5G1641 _MMGD ;1641; SE      
321; 5G1642 _MMGD ;1642; SE      
322; 5G1643 _MMGD ;1643; SE      
323; 5G1645 _MMGD ;1645; SE      
324; 5G1647 _MMGD ;1647; SE      
325; 5G1650 _MMGD ;1650; SE      
326; 5G1654 _MMGD ;1654; SE      
327; 5G1655 _MMGD ;1655; SE      
328; 5G1660 _MMGD ;1660; SE      
329; 5G1668 _MMGD ;1668; SE      
330; 5G1669 _MMGD ;1669; SE      
331; 5G1678 _MMGD ;1678; SE      
332; 5G1679 _MMGD ;1679; SE      
333; 5G1682 _MMGD ;1682; SE      
334; 5G1683 _MMGD ;1683; SE      
335; 5G1692 _MMGD ;1692; SE      
336; 5G1693 _MMGD ;1693; SE      
337; 5G1695 _MMGD ;1695; SE      
338; 5G1696 _MMGD ;1696; SE      
339; 5G1697 _MMGD ;1697; SE      
340; A3ARL  _AREA ;1700; SE      
341; A3FAG  _Fagu ;1701; SE      
342; A3PIB  _Piab ;1702; SE      
343; A3MBU1 _Maca ;1703; SE      
344; 5G1705 _MMGD ;1705; SE      
345; 5G1706 _MMGD ;1706; SE      
346; 5G1707 _MMGD ;1707; SE      
347; A3CALH _CALH ;1711; SE      
348; 5G1712 _MMGD ;1712; SE      
349; 5G1715 _MMGD ;1715; SE      
350; 5G1719 _MMGD ;1719; SE      
351; 5G1722 _MMGD ;1722; SE      
352; 5G1725 _MMGD ;1725; SE      
353; 5G1729 _MMGD ;1729; SE      
354; 5G1730 _MMGD ;1730; SE      
355; 5G1731 _MMGD ;1731; SE      
356; 5G1732 _MMGD ;1732; SE      
357; 5G1733 _MMGD ;1733; SE      
358; 5G1734 _MMGD ;1734; SE      
359; 5G1736 _MMGD ;1736; SE      
360; 5G1737 _MMGD ;1737; SE      
361; 5G1738 _MMGD ;1738; SE      
362; 5G1740 _MMGD ;1740; SE      
363; 5G1742 _MMGD ;1742; SE      
364; 5G1744 _MMGD ;1744; SE      
365; A3CANA _CANA ;1749; SE      
366; 5G1750 _MMGD ;1750; SE      
367; A3TUD  _TUDE ;1750; SE      
368; 5G1754 _MMGD ;1754; SE      
369; 5G1759 _MMGD ;1759; SE      
370; 5G1762 _MMGD ;1762; SE      
371; 5G1764 _MMGD ;1764; SE      
372; 5G1766 _MMGD ;1766; SE      
373; A3STRD _Sant ;1767; SE      
374; 5G1770 _MMGD ;1770; SE      
375; 5G1771 _MMGD ;1771; SE      
376; 5G1773 _MMGD ;1773; SE      
377; 5G1774 _MMGD ;1774; SE      
378; 5G1780 _MMGD ;1780; SE      
379; 5G1789 _MMGD ;1789; SE      
380; 5G1790 _MMGD ;1790; SE      
381; A3PIRA _PIRA ;1791; SE      
382; 5G1793 _MMGD ;1793; SE      
